districte;barris;barri_nom;barri_curt;poblacio;superficies;densitat;densitat_neta;homes;dones;e0_14_anys;e15_24_anys;e25_64_anys;e65 anys_i_mes;andalusia;arago;asturies;balears;canaries;cantabria;castellalamanxa;castellalleo;catalunya;valencia;extremadura;galicia;madrid;murcia;navarra;pais_basc;rioja;ceuta_melilla;estranger;espanya;alemanya;austria;belgica;bulgaria;dinamarca;eslovaquia;eslovenia;estonia;finlandia;franca;grecia;hongria;irlanda;italia;letonia;lituania;luxemburg;malta;holanda;polonia;portugal;uk;romania;suecia;rep_txeca;xipre;albania;andorra;armenia;bielorussia;bosnia;croacia;georgia;islandia;liechtenstein;maceconia;moldavia;monaco;montenegro;noruega;russia;serbia;suissa;ucraina;algeria;angola;benin;burkinafaso;burunci;camerun;cap_verd;rep_centreafrica;congo;congo_rd;costaivori;egipte;eritrea;etiopia;gabon;gambia;ghana;guinea;guinea_bissau;guinea_equatorial;kenya;liberia;libia;macagascar;malawi;mali;marroc;maurici;mauritania;mocambic;namibia;niger;nigeria;rwanda;sao_tome_principe;senegal;seychelles;sierraleone;somalia;sucafrica;sucan;tanzania;togo;tunisia;uganca;zambia;zimbabwe;altres_paisos_africa;canaca;eeuu;antigua;bahames;barbacos;belize;costa_rica;cuba;dominica;dominicana_republica;granaca;guatemala;haiti;honcures;jamaica;mexic;nicaragua;panama;christopher_i_nevis;saintlucia;salvacor;trinitat_i_tobago;argentina;bolivia;brasil;colombia;equacor;guyana;paraguai;peru;uruguai;venecuela;xile;afganistan;arabia_saudita;azerbaidjan;bangladesh;cambodja;corea;filipines;iemen;india;indonesia;iran;iraq;israel;japo;jorcania;kazakhstan;kirguizistan;kuwait;laos;liban;malaisia;mongolia;myanmar;nepal;oman;pakistan;singapur;siria;sri_lanka;tacjikistan;tailancia;turkmenistan;turquia;uea;uzbekistan;vietnam;xina;altres_asia;australia;nova_zelanda;apatrides;per_llar;persones_per_llar;menors_24;de25_29_anys;de30_34_anys;de35_39_anys;de40_44_anys;de45_49_anys;de50_54_anys;de55_59_anys;de60_64_anys;de65_69_anys;de70_74_anys;de75_79_anys;de80_84_anys;de85_89_anys;de90_94_anys;de95_i_mes;sols_total;sense_estudis;primaris;second_inferior;second_superior;universitaris;no_consta;senseestucis_dones;primaris_dones;dones_batxilleratelemental;dones_batxilleratsuperior;dones_superior;dones_no_consta;persona1;persones2;persones3;persones4;persones5;persones6;persones7;persones8;persones9_i_mes;cap_menor;menor1;menors2;menors3;menors_4_o_mes;tots_espanyols;tots_estrangers;llars_mixtes;edatmitjana_totsespanyols;edatmitjana_totsestrangers;edatmitjana_mixtes;emigrants;emigrants_homes;emigrants_dones;naixements_2007;naixements_2008;naixements_2009;naixements2010;naixements2011;naixements2012;baixa_per_mil;alta_taxa_per_mil;total_aturats;atur_menys6mesos;atur6a12mesos;aturmes12mesos;atur_homes;atur_dones;rfbc2008_old;rfbc2009_old;rfbc2010_old;rfbc2011_old;rfbc2008;rfbc2012;rfbc2014;fins_a_75_cc;de_75_a_125_cc;de_126_a_200;de_201_a_250_cc;de_251_a_300_cc;de_301_a_500_cc;de_501_a_750_cc;mes_de_750_cc;vehiclestotal;turismes;motos;ciclomotors;furgonetes;camions;altres_vehicles;cotxes_menys_dun_any;cotxes_1_any;cotxes_2_anys;cotxes_3_anys;cotxes_4_anys;cotxes_5_anys;cotxes_6_anys;cotxes_7_anys;cotxes_8_anys;cotxes_9_anys;cotxes_10_anys;cotxes_d11_a_15;cotxes_mes_15;llars;propi_compra_pagat;propi_compra_hipoteca;propi_herencia;llogat;cedit;altra_forma;fins_a_30_m2;de31_a_60_m2;de61_a_90_m2;de91_a_120_m2;de121_a_150_m2;mes_de_150_m2;habitacio1;habitacions2;habitacions3;habitacions4;habitacions5;habitacions6;habitacions7;habitacions8;habitacions_9i_mes;amb_calefaccio;colectiva_o_central;individual;aparell_escalfar;sense_calefaccio;amb_telefon;sense_telefon;nc;amb_internet;sense_internet;ruinos;dolent;deficient;bo;preum2_2009;preum2_2010;preum2_2011;preum2_2012;preum2_2013;preulloguerm2_2011;preulloguerm2_2010.;preulloguerm2_2009;preulloguerm2_2008;preulloguerm2_2007;electors_l07;votants_l07;psc_l07;ciu_l07;pp_l07;icv_l07;erc_l07;altre_l07;electors_l11;votants_l11;ciu_l11;psc_l11;pp_l11;icv_l11;erc_l11;altres_l11;blancs_l11;nuls_l11;electors_a10;votants_a10;abstencio_a10;ciu_a10;psc_a10;pp_a10;icv_a10;erc_a10;cs_a10;si_a10;altres_a10;blancs_a10;nuls_a10;electors_a12;votants_a12;abstencio_a12;ciu_a12;pp_a12;erc_a12;psc_a12;icv_a12;cs_a12;cup_a12;altres_a12;blancs_a12;nuls_a12;electors_g11;votants_g11;abstencio_g11;ciu_g11;psc_g11;pp_g11;icv_g11;erc_g11;eb_g11;upyc_g11;pxc_g11;pirata_g11;pacma_g11;anticapitalistes_g11;uce_g11;blancs_g11;nuls_g11;electors_eu14;votants_eu14;abstencio_eu14;erc_eu14;ciu_eu14;icv_eu14;psc_eu14;pp_eu14;cs_eu14;pocem_eu14;altres_eu14;blancs_eu14;nuls_eu14;de65_anys_i_mes_sols;de75_anys_i_mes_sols;index_envelliment;index_sobreenvelliment;dependencia_dem;habitatgeææ;aparcamentsææ;comerc;industriaææ;oficinesææ;ensenyamentææ;sanitatææ;hostaleriaææ;esportiuææ;religiosææ;espectaclesææ;altres_usosææ;taxa_natalitat_2014;taxa_mortalitat_2014;taxa_immigracio_2014;taxa_emigracio_2014;pensions_no_contr_jubilacio_2012;pensions_no_contr_invalidesa_2012
4;21; Pedralbes;pedr;11790;270;44;145;5490;6300;1751;1270;5971;2798;248;244;33;35;26;27;71;219;7671;161;41;121;212;33;30;93;26;37;2462;9870;111;10;13;21;3;2;0;1;0;459;5;8;4;189;1;0;0;0;21;9;31;60;27;18;3;0;0;7;0;1;0;1;6;0;0;0;0;0;0;2;89;7;16;14;14;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;1;0;2;2;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;14;41;2;0;0;0;5;5;0;14;0;4;0;12;0;46;1;0;1;0;15;0;40;61;24;59;18;0;15;42;5;35;25;0;0;0;2;0;26;30;0;22;1;15;0;1;77;1;5;0;0;0;17;1;0;0;1;0;10;1;1;0;0;1;0;8;0;0;1;12;5;0;0;0;4256;2.8;23;56;69;72;59;52;58;59;79;113;89;102;118;90;39;9;1087;330;665;1215;2904;4755;3;182;481;752;1631;2267;2;1089;1141;792;682;336;125;41;18;31;3214;430;424;142;45;3397;445;413;46.8;32.2;39.4;386;197;189;74;68;68;84;79;74;37.9;37.6;293;118;61;114;131;163;1,946,682,467,563;1,983,100,340,775;2,083,707,533,334;2,460,271,111,537;194.7;240.7;243.9;422;1463;392;306;196;168;195;162;11532;6914;3304;707;203;146;258;218;222;275;306;311;451;432;443;349;298;301;1248;1465;4007;1885;443;159;1059;.;362;.;179;742;1076;802;1154;.;.;269;707;1125;1062;375;142;171;3906;423;3205;278;.;3962;.;.;3003;1004;.;.;.;3940;6128;6205;5519;4994;4946;14;15;14;14;15;8535;4942;482;2138;1589;124;145;464;8385;5185;2557;326;1659;117;123;263;106;34;8185;6073;2112;3265;267;1641;98;135;328;113;137;71;18;8205;6475;1730;2837;1935;303;178;170;757;57;132;83;23;8221;6122;2099;2684;380;2456;126;198;49;60;22;37;12;3;4;65;26;8318;4636;3682;400;1630;149;197;1296;568;51;267;62;16;19.8;23.6;148;53.6;67.3;5949;5186;233;291;321;427;40;111;169;41;5;119;5.5;8.1;53;34.2;23;21
5;22; Vallvidrera, el Tibidabo i les Planes;vallv;4437;1152;4;50;2128;2309;835;433;2494;675;137;50;8;24;7;8;50;56;3185;46;14;45;57;8;9;21;5;0;707;3894;55;6;12;0;8;4;0;2;2;56;3;1;2;62;0;1;0;0;25;7;7;60;8;7;2;0;0;3;2;1;0;0;3;0;0;0;0;0;0;7;19;0;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;21;0;0;0;0;0;4;0;3;0;1;0;2;0;5;0;0;0;0;1;0;17;16;3;7;11;1;13;6;5;5;19;0;0;0;0;0;0;2;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;4;0;1;1;0;1547;2.9;4;13;26;28;30;32;45;41;34;38;31;13;18;17;4;2;376;207;374;559;1001;1425;2;129;219;267;502;760;2;376;371;301;279;118;52;22;14;14;1;259;217;56;15;1225;128;194;41.4;32.6;36.4;132;71;61;26;45;37;39;37;37;51.7;54.9;112;43;24;45;50;63;1,656,045,867,841;1,721,854,449,227;1,619,026,062,233;1,658,624,788,432;165.6;177.5;177.8;48;292;103;91;44;43;78;69;3131;1870;768;226;103;58;106;58;59;62;67;81;107;96;126;102;107;88;376;357;1026;335;328;.;220;.;.;.;149;343;227;103;191;.;.;123;198;304;212;.;.;.;999;.;733;190;.;918;.;.;812;215;.;.;134;797;.;.;.;.;.;12;12;13;13;13;2853;1527;318;507;167;178;155;202;3087;1694;634;258;185;208;112;205;70;22;2966;1970;996;851;214;174;208;121;69;115;132;70;16;2973;2232;741;878;196;350;152;243;123;147;107;26;10;3005;2096;909;750;362;321;254;201;64;16;9;27;19;17;1;41;14;3110;1707;1403;447;478;232;112;111;101;57;131;28;10;17.8;15.3;74.9;50.9;56.1;3418;811;160;367;13;59;47;27;106;37;11;14;10.6;9;34.5;32.9;19;13
5;23; Sarriaæ;sarr;24450;304;80;260;11326;13124;4338;2506;12553;5053;389;377;79;90;52;56;118;343;17861;243;62;198;304;64;103;167;37;26;3881;21430;126;8;28;31;12;4;4;3;3;612;12;4;12;431;1;9;1;0;64;22;44;112;35;35;5;0;0;36;1;5;0;4;9;0;0;1;2;0;2;4;68;6;27;23;8;1;0;0;0;8;2;0;1;0;0;2;0;0;0;1;1;0;0;0;4;0;1;0;0;0;50;1;0;1;0;0;4;0;0;11;0;0;0;9;2;0;0;2;0;0;0;0;14;119;0;0;0;0;3;15;0;16;0;5;1;20;1;93;9;2;0;0;3;0;45;87;38;59;22;0;56;64;4;25;35;1;5;1;0;0;13;28;0;24;2;16;0;8;143;3;3;0;1;0;4;3;0;0;0;0;6;9;5;1;0;4;0;11;0;0;0;61;8;6;3;0;8886;2.8;47;120;189;185;183;167;163;170;164;183;194;186;233;176;107;23;2.49;838;1503;2530;5398;9628;11;505;1035;1504;2878;5009;6;2493;2246;1594;1405;686;231;94;53;86;6365;1051;1015;343;114;7326;684;878;43.7;33.5;36.3;739;321;418;224;223;258;237;223;272;51.7;58.1;617;245;130;242;274;343;1,724,065,727,892;1,760,542,916,063;1,778,082,000,672;1,807,364,492,759;172.4;189.8;196.1;618;2751;770;548;342;265;359;294;19153;10849;5947;1271;439;226;421;337;332;446;441;507;627;616;640;602;528;440;2004;2294;9428;3606;1344;568;2742;486;682;.;1232;3034;2344;1357;1393;.;571;1242;1931;2389;1885;800;278;275;9013;755;6893;1365;415;9403;.;.;7476;1952;.;.;204;9157;5469;5400;5080;4417;4447;15;16;15;15;16;16762;10099;1548;4354;1938;595;603;1061;17250;10760;5158;1088;2130;598;405;864;381;136;16859;12455;4404;6470;896;2105;676;474;593;435;451;299;56;16938;13487;3451;6332;2432;1187;591;807;1134;356;427;177;44;16925;12827;4098;5808;1297;3402;755;750;226;107;28;81;32;43;3;156;139;17289;10324;6965;1668;3859;834;545;1625;799;185;582;176;51;21.6;25.1;109;56.8;65.9;12728;8855;1225;1114;303;362;181;99;580;136;1;18;10.5;9.7;40.7;29.4;100;67
5;24; les Tres Torres;3tor;15984;79;203;376;7394;8590;2775;1940;8014;3255;251;234;59;72;37;38;70;254;11980;185;37;139;278;31;64;145;18;10;2082;14453;90;4;28;16;4;2;0;1;7;128;2;3;3;166;2;1;1;0;28;10;29;49;7;9;0;0;0;23;1;0;0;0;7;4;0;0;0;0;0;1;30;0;26;7;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;177;0;0;0;0;0;6;0;13;0;0;0;31;0;38;3;0;0;0;11;0;25;55;33;41;19;0;47;38;6;28;18;0;0;0;0;0;2;38;0;14;2;3;0;9;99;4;3;0;0;0;0;0;0;0;0;0;9;1;0;0;0;2;0;2;0;0;0;31;2;2;0;0;5535;2.9;19;70;99;85;69;79;89;80;88;121;127;138;122;91;47;14;1338;409;692;1417;3965;6588;3;238;513;880;2280;3276;2;1349;1.43;948;962;525;197;81;32;35;3953;652;605;274;75;4702;309;548;42.9;33.4;36.3;486;238;248;153;139;128;142;146;163;51.1;53.1;438;168;94;176;193;244;214,741,190,598;2,226,033,536,503;225,811,597,435;2,164,199,176,979;214.7;215;224;638;2154;563;411;281;215;294;226;14947;8588;4782;930;240;124;283;276;277;355;327;435;567;531;527;461;429;362;1568;1700;5687;2474;905;266;1575;130;337;.;479;862;1347;1184;1772;.;294;429;780;1448;1602;767;211;126;5640;864;4454;322;.;5632;.;.;4739;948;.;.;.;5588;6298;5722;5261;4406;4488;14;15;15;15;15;11302;7153;718;3239;2083;175;220;718;11474;7464;3874;483;2111;185;151;409;193;58;11214;8701;2513;4814;350;2124;201;154;523;172;213;128;22;11386;9304;2082;4265;2456;440;328;255;1075;96;224;138;27;11251;8996;2255;4095;544;3418;232;261;106;96;14;29;33;15;2;102;49;11617;6981;4636;639;2727;272;300;1671;713;79;427;124;29;19.9;23.8;110;52.3;64.7;6978;8203;482;1062;369;70;280;36;39;44;1;0;9.1;7.3;46.5;27.7;41;9
5;25; Sant Gervasi ;bonan;24607;224;110;300;11155;13452;3851;2585;12661;5510;397;413;65;78;49;71;114;396;18449;257;66;239;356;68;77;190;36;16;3270;22291;131;6;23;9;10;5;0;1;12;236;8;0;12;309;0;5;1;0;40;18;41;80;30;19;5;0;2;12;4;1;0;4;10;1;0;0;0;0;1;5;68;1;30;28;11;0;0;0;0;5;0;0;0;0;2;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;35;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0;3;92;0;0;0;0;1;13;0;18;0;4;2;35;0;62;9;1;0;0;8;0;67;119;50;82;45;0;62;80;19;47;13;0;4;3;4;0;2;57;0;4;0;2;0;5;18;0;3;0;0;0;1;0;0;0;2;0;10;0;5;0;0;3;0;8;0;0;0;116;1;2;1;0;9321;2.7;53;139;191;225;189;145;155;165;175;241;185;215;232;217;109;39;2675;740;1574;2631;6286;9758;18;436;1001;1577;3494;5002;12;2682;2434;1552;1.46;726;253;104;43;66;6.96;1034;900;341;85;7813;605;902;44.4;34.1;37.9;718;351;367;193;212;201;209;227;257;57.4;56.7;772;302;150;320;325;449;1,775,309,765,021;1,844,716,799,595;1,894,729,161,316;1,907,437,552,787;177.5;187.9;189.6;859;3163;859;580;328;316;420;322;21598;12161;6847;1562;385;222;421;312;396;441;499;546;691;686;697;657;586;498;2224;2885;9715;3055;1758;586;3597;299;421;163;1360;2096;2357;1793;1946;174;517;1007;1773;2497;2289;914;315;230;9354;1016;7024;1314;361;9690;.;.;7239;2476;.;.;508;9182;5320;5197;4396;3828;3809;14;14;14;14;14;21582;10643;1463;4615;2600;413;353;1199;18297;11255;5631;969;2698;434;263;788;374;98;17713;13037;4676;6932;793;2728;454;325;710;321;441;289;44;17970;14167;3803;6479;3179;882;596;621;1463;252;423;209;63;18008;13655;4353;6145;1251;4482;505;540;190;118;44;63;40;28;5;158;86;18410;10486;7924;1257;3892;697;480;2155;1005;140;631;193;36;22.3;26.5;130.6;55.4;63.3;12532;9853;1202;920;528;411;448;135;209;120;16;26;7.8;9.6;41.5;27.4;103;56
5;26; Sant Gervasi ;galv;46486;166;280;487;20957;25529;6827;4737;24238;10684;775;774;165;169;100;124;190;640;33763;541;141;383;716;129;155;393;72;54;7202;41380;243;20;38;30;21;4;3;1;15;504;26;8;18;600;1;8;2;1;84;35;91;176;74;53;11;1;9;16;2;6;6;5;12;5;1;3;7;0;2;16;122;12;85;45;10;1;0;0;0;4;0;0;0;0;1;7;1;2;0;1;1;1;0;1;3;0;4;0;0;0;75;3;0;0;0;0;8;1;0;8;1;0;0;4;0;0;0;1;0;0;0;0;24;217;0;0;0;0;7;25;0;51;0;10;1;80;0;145;21;6;0;0;42;0;139;209;114;177;92;0;99;182;38;90;79;0;1;0;2;1;16;177;0;37;3;27;1;59;58;2;10;1;5;0;7;2;0;0;4;0;50;4;4;0;0;2;0;21;0;2;6;168;14;9;5;0;18556;2.5;109;318;431;407;361;383;324;358;405;504;451;497;597;485;247;79;5956;1221;2561;4646;11811;19005;11;688;1833;2884;6861;9705;5;5965;4956;3089;2611;1213;422;142;78;77;14336;1943;1581;563;130;15355;1361;1837;45.5;34.9;37.9;1229;570;659;469;431;372;416;387;410;45.8;47.9;1517;632;272;613;688;828;1,871,046,031,169;1,950,955,889,664;2,011,113,540,858;1,777,487,798,248;187.1;176;195.6;1828;6172;1709;1327;766;631;915;660;45851;26045;14009;2967;1080;687;1063;758;789;964;939;1072;1563;1599;1477;1358;1159;1080;4609;6357;18387;6295;2571;1211;6760;664;886;.;2026;4623;4930;2654;4074;276;681;1822;3901;4705;3607;1777;847;771;17836;3254;12465;2116;551;17833;.;507;13812;4575;.;189;185;17467;4833;5104;4263;3921;3882;13;14;14;14;15;34719;20719;2707;8832;5231;882;867;2200;34385;21302;10487;1812;5278;869;491;1482;656;227;33730;24862;8868;13007;1611;5383;942;663;1259;587;849;477;84;33806;26764;7042;11983;6306;1635;1170;1295;2760;504;691;333;87;33841;25744;8097;11187;2466;8510;1087;1028;368;225;76;113;96;68;9;313;198;34272;19765;14507;2396;7197;1286;1057;4105;1881;293;1155;318;77;26.8;31.6;145;56.3;63.2;25339;15501;3905;2693;3229;302;344;365;90;130;76;85;8.2;9.4;38.5;27.6;193;65
5;27; el Putxet i el Farro;utxet;29302;85;346;551;13366;15936;4077;2717;16610;5898;560;497;91;109;49;51;176;443;20445;306;87;298;311;80;75;186;62;24;5452;25208;194;17;34;30;13;7;4;2;13;312;11;7;16;537;5;3;1;1;45;38;93;158;118;43;12;0;0;10;1;4;0;8;5;0;0;0;9;0;1;13;83;13;42;44;15;0;0;1;0;0;1;0;0;0;1;12;0;0;0;3;15;6;0;3;1;0;0;0;0;3;115;0;1;0;0;1;6;0;0;14;0;0;2;3;0;0;1;2;0;0;0;0;15;112;0;0;0;0;8;23;0;28;0;5;2;57;1;98;8;5;0;0;22;0;128;113;105;198;67;0;89;177;27;95;75;4;5;1;20;0;7;31;0;33;1;9;0;7;37;0;3;0;0;0;1;2;1;1;12;0;139;3;7;0;0;5;0;23;1;1;0;121;2;6;0;0;12124;2.4;72;264;374;366;314;259;235;242;335;363;291;294;323;276;139;33;4.18;842;1768;3331;7205;11400;6;520;1226;1898;3889;6107;4;4177;3268;2085;1609;679;176;59;34;29;9528;1.29;966;265;67;9893;1027;1196;45.2;33.3;36.4;934;424;510;269;250;286;276;274;250;62.6;64.4;1343;544;241;558;625;719;1,491,048,411,708;1,476,514,276,103;1,504,577,237,216;1,379,975,407,587;149.1;138.2;142.2;698;3108;768;591;323;367;502;295;21416;12030;6652;1761;438;200;335;341;345;418;452;447;608;673;701;653;584;493;2302;3022;12765;4220;2272;604;4696;314;659;.;2369;5031;3245;1147;822;389;759;1359;2818;3846;2471;621;267;237;12195;918;8765;2511;570;12612;.;142;9568;3197;.;.;534;12073;.;4310;3940;3339;3237;13;14;14;14;14;23067;12261;2274;4726;2021;989;835;1416;21362;12753;5471;1627;2086;1031;614;1219;509;196;20945;14965;5980;7264;1425;2047;1039;776;567;569;735;475;68;20804;16190;4614;7166;2307;1848;904;1379;1193;551;569;189;84;20948;15384;5564;6379;2111;3339;1306;1095;324;141;54;87;84;54;3;193;214;21201;12208;8993;2473;4125;1361;748;1399;843;346;682;180;51;28.8;34.1;137.6;52.4;55.4;16266;10685;1386;1407;626;160;124;81;45;41;13;3;9.7;8.5;40.3;25;114;58
6;28; Vallcarca i els Penitents;vallc;15453;121;128;329;7124;8329;2025;1295;8658;3475;564;391;49;59;25;20;190;412;10125;180;102;293;147;51;45;59;24;10;2707;13456;99;11;21;12;10;3;0;0;5;116;7;6;9;198;1;3;0;1;20;28;46;78;54;16;12;0;0;6;12;3;0;0;4;6;0;0;0;0;0;7;31;2;8;48;1;0;0;1;0;1;0;1;0;0;0;4;0;0;0;0;4;0;0;0;1;0;0;0;0;0;47;0;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;1;0;0;0;0;2;20;0;0;0;0;9;30;1;29;0;4;2;23;0;60;3;0;0;0;6;0;67;104;40;105;69;0;56;97;13;56;35;0;0;0;2;0;4;8;0;21;0;8;0;4;16;0;0;0;0;0;0;0;0;0;0;0;59;0;2;0;0;1;0;1;0;0;1;84;0;3;2;0;6488;2.4;28;103;166;195;171;134;123;122;159;177;155;162;183;138;55;18;2089;706;1629;2344;3690;4890;3;456;992;1252;1838;2725;2;2091;1889;1176;916;259;85;42;17;13;5084;745;525;115;19;5415;494;579;46.9;32.5;34.5;416;202;214;139;143;141;149;127;156;57.2;55;848;325;155;368;398;449;1,119,348,947,415;1,118,809,442,162;1,049,179,450,819;1,144,089,267,154;111.9;113.7;103.9;245;1254;322;247;131;138;247;151;10244;6022;2735;962;225;114;186;161;173;229;220;247;322;342;339;321;292;256;1286;1409;7349;2711;1317;354;2582;.;249;.;1979;3677;868;357;311;.;598;960;1899;2188;1186;178;172;.;6716;307;4712;1697;633;7246;.;.;4952;2397;.;.;164;7048;.;3918;3649;3095;3118;12;12;13;13;13;13508;6317;1564;2013;887;570;574;709;11562;6477;2180;1186;947;654;389;721;293;107;11357;7573;3784;3119;1050;933;653;492;280;300;440;262;44;11390;8519;2871;3086;1061;1169;696;912;648;389;384;114;60;11379;7978;3401;2653;1605;1484;816;735;153;78;42;74;58;41;6;133;100;11459;6374;5085;1529;1680;830;559;640;401;244;396;71;24;25.5;29.8;157.1;53.5;58.3;8982;5063;616;526;112;95;136;31;71;27;2;5;8.2;10.2;38.2;26.7;62;49
6;29; el Coll;coll;7232;36;202;583;3392;3840;948;613;4242;1429;405;157;28;17;12;11;149;234;4381;79;65;179;59;43;12;28;11;12;1350;6142;42;1;10;10;0;0;0;0;1;52;4;0;6;105;7;1;0;1;6;14;19;29;42;2;1;1;4;1;0;0;1;0;1;3;0;0;0;0;0;0;26;0;6;6;16;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;7;0;0;0;0;3;7;0;21;0;1;0;30;0;13;9;3;0;0;8;0;45;70;24;47;33;0;22;63;2;33;28;0;6;0;0;0;0;10;0;18;1;6;0;1;2;3;0;0;0;0;1;0;0;0;3;0;37;0;0;0;0;1;0;1;0;0;0;7;1;4;1;0;3022;2.4;14;37;76;94;74;73;64;64;60;84;79;74;65;37;21;6;922;465;989;1337;1684;1695;4;295;563;681;817;954;1;921;911;597;428;101;40;16;2;5;2368;364;245;37;7;2489;248;284;45.7;31.5;34.5;209;97;112;75;73;70;86;72;59;59.3;55.4;355;137;65;153;164;190;901,977,914,389;896,583,446,308;890,494,823,826;972,580,174,186;90.2;92.9;83.1;77;602;121;100;55;68;103;71;4253;2359;1197;436;110;76;75;62;51;91;78;81;138;151;157;144;103;101;520;534;3387;1157;814;.;1169;.;153;.;1346;1582;325;.;.;.;269;684;852;1016;393;.;.;.;2861;.;1794;962;526;3312;.;.;2184;1203;.;.;313;2971;.;.;2815;2486;2374;11;12;12;12;13;5539;2702;773;682;320;297;286;344;5430;2670;702;608;373;284;184;375;105;39;5290;3136;2154;1105;587;339;298;269;111;92;202;117;16;5241;3640;1601;984;450;554;467;487;276;160;211;44;7;5329;3521;1808;881;977;637;395;290;81;57;31;37;22;20;6;52;35;5329;2530;2799;649;479;333;302;231;171;111;213;26;15;25.8;30.3;142.5;47.3;50.7;3922;1878;279;243;63;29;6;10;13;5;0;0;7.9;7.1;41.3;26.8;30;29
6;30; la Salut;salut;13210;64;205;681;6071;7139;1589;1167;7352;3102;414;255;36;37;12;33;169;356;8976;191;69;211;138;40;36;82;22;14;2119;11584;65;5;11;5;2;0;3;2;6;90;4;8;4;275;0;1;0;0;17;15;55;53;49;13;0;0;4;1;7;0;1;0;18;0;0;5;0;0;1;3;22;8;7;14;16;1;1;2;0;0;0;0;0;0;1;1;0;0;0;0;0;14;1;0;0;0;0;0;0;0;77;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;5;33;0;0;0;0;2;14;0;25;0;2;0;13;0;49;2;4;0;0;4;0;64;45;33;90;44;0;29;66;10;29;25;1;0;0;5;0;5;5;1;26;1;1;0;0;9;2;2;1;4;0;1;1;2;0;0;0;19;2;2;0;0;0;0;4;0;1;1;47;1;1;0;1;5435;2.4;31;102;163;123;103;86;82;92;132;154;129;169;162;112;53;24;1717;657;1320;2031;3285;4218;7;378;852;1143;1613;2353;6;1718;1619;974;784;229;73;13;6;17;4396;544;402;75;16;4564;393;476;47.3;33.1;36.3;385;198;187;103;132;95;87;116;121;54.2;58.1;718;286;122;310;341;376;1,110,333,538,336;1,100,892,350,154;1,117,040,533,721;109,813,415,056;111;117.4;113.5;223;1195;284;214;91;103;210;118;9171;5375;2438;876;198;112;172;127;143;194;201;216;290;308;305;304;273;214;1134;1283;5274;2289;910;257;1356;136;326;.;1016;2483;1297;256;168;.;285;666;1107;1657;1244;120;.;.;4974;250;3513;1211;300;5154;.;120;3798;1475;.;.;.;5084;.;.;3407;2832;2769;12;12;13;13;13;12574;5686;1282;1789;759;586;616;654;10112;5709;1972;897;797;629;417;644;240;113;9943;6713;3230;2775;849;754;676;518;213;266;392;214;56;9899;7444;2455;2753;847;1143;525;855;487;409;315;75;35;9944;6964;2980;2456;1307;1185;735;690;169;64;39;62;39;31;6;82;99;10000;5486;4514;1356;1534;746;410;508;295;208;342;63;24;25.7;31.9;183.6;52.1;57.6;6973;3411;539;445;122;75;216;27;30;49;3;2;7.3;10.4;39.5;26.2;57;125
